link_id,from_node_id,to_node_id,link_type,directed,length,lanes,capacity,free_speed,vdf_fftt,vdf_alpha,vdf_beta,allowed_uses
1,1,117,centroid_connector,1,5280.0,1,9000.0000,290520.0001,1.090458,0.15,4.0,auto
2,2,87,centroid_connector,1,5280.0,1,9000.0000,290520.0001,1.090458,0.15,4.0,auto
3,3,74,centroid_connector,1,5280.0,1,9000.0000,290520.0001,1.090458,0.15,4.0,auto
4,4,233,centroid_connector,1,5280.0,1,9000.0000,290520.0001,1.090458,0.15,4.0,auto
5,5,165,centroid_connector,1,5280.0,1,9000.0000,290520.0001,1.090458,0.15,4.0,auto
6,6,213,centroid_connector,1,5280.0,1,9000.0000,290520.0001,1.090458,0.15,4.0,auto
7,7,253,centroid_connector,1,5280.0,1,9000.0000,290520.0001,1.090458,0.15,4.0,auto
8,8,411,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
9,9,379,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
10,9,395,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
11,10,338,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
12,10,362,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
13,11,309,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
14,12,275,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
15,13,262,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
16,14,257,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
17,15,254,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
18,16,263,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
19,17,276,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
20,18,322,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
21,18,348,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
22,19,364,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
23,19,380,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
24,20,397,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
25,21,412,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
26,21,413,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
27,22,414,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
28,22,415,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
29,23,416,centroid_connector,1,2640.0,1,5400.0000,158400.0,1.0,0.15,4.0,auto
30,24,266,centroid_connector,1,1320.0,1,12600.0000,531299.9999,0.149068,0.15,4.0,auto
31,24,267,centroid_connector,1,1320.0,1,12600.0000,531299.9999,0.149068,0.15,4.0,auto
32,25,268,centroid_connector,1,1320.0,1,12600.0000,531299.9999,0.149068,0.15,4.0,auto
33,25,269,centroid_connector,1,1320.0,1,12600.0000,531299.9999,0.149068,0.15,4.0,auto
34,26,273,centroid_connector,1,1320.0,1,12600.0000,531299.9999,0.149068,0.15,4.0,auto
