o_zone_id,d_zone_id,volume,period,agent_type
13,4,85.94,AM,auto
13,16,85.94,AM,auto
13,1,85.94,AM,auto
13,8,85.94,AM,auto
13,7,85.94,AM,auto
13,11,85.94,AM,auto
13,10,85.94,AM,auto
13,2,85.94,AM,auto
2,11,85.94,AM,auto
2,12,85.94,AM,auto
2,5,85.94,AM,auto
2,15,85.94,AM,auto
2,6,85.94,AM,auto
2,7,85.94,AM,auto
2,3,85.94,AM,auto
2,13,85.94,AM,auto
14,6,85.94,AM,auto
14,1,85.94,AM,auto
14,7,85.94,AM,auto
14,2,85.94,AM,auto
14,3,85.94,AM,auto
14,4,85.94,AM,auto
14,12,85.94,AM,auto
14,15,85.94,AM,auto
5,1,85.94,AM,auto
5,9,85.94,AM,auto
5,14,85.94,AM,auto
5,15,85.94,AM,auto
5,3,85.94,AM,auto
5,10,85.94,AM,auto
5,4,85.94,AM,auto
5,13,85.94,AM,auto
7,10,85.94,AM,auto
7,4,85.94,AM,auto
7,13,85.94,AM,auto
7,3,85.94,AM,auto
7,8,85.94,AM,auto
7,12,85.94,AM,auto
7,2,85.94,AM,auto
7,11,85.94,AM,auto
15,7,85.94,AM,auto
15,4,85.94,AM,auto
15,1,85.94,AM,auto
15,5,85.94,AM,auto
15,10,85.94,AM,auto
15,12,85.94,AM,auto
15,13,85.94,AM,auto
15,14,85.94,AM,auto
1,4,85.94,AM,auto
1,8,85.94,AM,auto
1,11,85.94,AM,auto
1,12,85.94,AM,auto
1,14,85.94,AM,auto
1,3,85.94,AM,auto
1,2,85.94,AM,auto
1,16,85.94,AM,auto
10,4,85.94,AM,auto
10,8,85.94,AM,auto
10,5,85.94,AM,auto
10,1,85.94,AM,auto
10,11,85.94,AM,auto
10,6,85.94,AM,auto
10,14,85.94,AM,auto
10,7,85.94,AM,auto
