link_id,from_node_id,to_node_id,link_type,directed,length,lanes,capacity,free_speed,vdf_fftt,vdf_alpha,vdf_beta,allowed_uses
1,1,2,arterial,1,1.0,1,1000.0,30,1.998095,0.15,4.0,auto
2,2,1,arterial,1,1.0,1,1000.0,30,1.998095,0.15,4.0,auto
3,1,6,arterial,1,1.0,1,1000.0,30,2.002391,0.15,4.0,auto
4,6,1,arterial,1,1.0,1,1000.0,30,2.002391,0.15,4.0,auto
5,2,7,arterial,1,1.0,1,1000.0,30,1.998626,0.15,4.0,auto
6,7,2,arterial,1,1.0,1,1000.0,30,1.998626,0.15,4.0,auto
7,3,4,arterial,1,1.0,1,1000.0,30,2.000314,0.15,4.0,auto
8,4,3,arterial,1,1.0,1,1000.0,30,2.000314,0.15,4.0,auto
9,3,8,arterial,1,1.0,1,1000.0,30,2.003495,0.15,4.0,auto
10,8,3,arterial,1,1.0,1,1000.0,30,2.003495,0.15,4.0,auto
11,4,5,arterial,1,1.0,1,1000.0,30,1.987386,0.15,4.0,auto
12,5,4,arterial,1,1.0,1,1000.0,30,1.987386,0.15,4.0,auto
13,4,9,arterial,1,1.0,1,1000.0,30,2.000476,0.15,4.0,auto
14,9,4,arterial,1,1.0,1,1000.0,30,2.000476,0.15,4.0,auto
15,5,10,arterial,1,1.0,1,1000.0,30,2.011719,0.15,4.0,auto
16,10,5,arterial,1,1.0,1,1000.0,30,2.011719,0.15,4.0,auto
17,6,7,arterial,1,1.0,1,1000.0,30,1.983765,0.15,4.0,auto
18,7,6,arterial,1,1.0,1,1000.0,30,1.983765,0.15,4.0,auto
19,6,11,arterial,1,1.0,1,1000.0,30,1.992136,0.15,4.0,auto
20,11,6,arterial,1,1.0,1,1000.0,30,1.992136,0.15,4.0,auto
21,7,12,arterial,1,1.0,1,1000.0,30,2.012386,0.15,4.0,auto
22,12,7,arterial,1,1.0,1,1000.0,30,2.012386,0.15,4.0,auto
23,8,9,arterial,1,1.0,1,1000.0,30,2.007738,0.15,4.0,auto
24,9,8,arterial,1,1.0,1,1000.0,30,2.007738,0.15,4.0,auto
25,8,13,arterial,1,1.0,1,1000.0,30,1.981675,0.15,4.0,auto
26,13,8,arterial,1,1.0,1,1000.0,30,1.981675,0.15,4.0,auto
27,9,10,arterial,1,1.0,1,1000.0,30,2.019288,0.15,4.0,auto
28,10,9,arterial,1,1.0,1,1000.0,30,2.019288,0.15,4.0,auto
29,9,14,arterial,1,1.0,1,1000.0,30,2.01859,0.15,4.0,auto
30,14,9,arterial,1,1.0,1,1000.0,30,2.01859,0.15,4.0,auto
31,10,15,arterial,1,1.0,1,1000.0,30,2.004623,0.15,4.0,auto
32,15,10,arterial,1,1.0,1,1000.0,30,2.004623,0.15,4.0,auto
33,11,12,arterial,1,1.0,1,3000.0,30,1.9863,0.15,4.0,auto
34,12,11,arterial,1,1.0,1,3000.0,30,1.9863,0.15,4.0,auto
35,11,16,arterial,1,1.0,1,1000.0,30,1.9806,0.15,4.0,auto
36,16,11,arterial,1,1.0,1,1000.0,30,1.9806,0.15,4.0,auto
37,12,13,arterial,1,1.0,1,3000.0,30,2.001135,0.15,4.0,auto
38,13,12,arterial,1,1.0,1,3000.0,30,2.001135,0.15,4.0,auto
39,12,17,arterial,1,1.0,1,1000.0,30,1.982382,0.15,4.0,auto
40,17,12,arterial,1,1.0,1,1000.0,30,1.982382,0.15,4.0,auto
41,13,14,arterial,1,1.0,1,3000.0,30,1.987608,0.15,4.0,auto
42,14,13,arterial,1,1.0,1,3000.0,30,1.987608,0.15,4.0,auto
43,13,18,arterial,1,1.0,1,1000.0,30,1.989678,0.15,4.0,auto
44,18,13,arterial,1,1.0,1,1000.0,30,1.989678,0.15,4.0,auto
45,14,15,arterial,1,1.0,1,3000.0,30,1.981203,0.15,4.0,auto
46,15,14,arterial,1,1.0,1,3000.0,30,1.981203,0.15,4.0,auto
47,14,19,arterial,1,1.0,1,1000.0,30,1.998557,0.15,4.0,auto
48,19,14,arterial,1,1.0,1,1000.0,30,1.998557,0.15,4.0,auto
49,15,20,arterial,1,1.0,1,1000.0,30,2.013697,0.15,4.0,auto
50,20,15,arterial,1,1.0,1,1000.0,30,2.013697,0.15,4.0,auto
51,16,17,arterial,1,1.0,1,1000.0,30,2.000765,0.15,4.0,auto
52,17,16,arterial,1,1.0,1,1000.0,30,2.000765,0.15,4.0,auto
53,16,21,arterial,1,1.0,1,1000.0,30,2.005612,0.15,4.0,auto
54,21,16,arterial,1,1.0,1,1000.0,30,2.005612,0.15,4.0,auto
55,17,22,arterial,1,1.0,1,1000.0,30,2.006498,0.15,4.0,auto
56,22,17,arterial,1,1.0,1,1000.0,30,2.006498,0.15,4.0,auto
57,18,19,arterial,1,1.0,1,1000.0,30,1.998293,0.15,4.0,auto
58,19,18,arterial,1,1.0,1,1000.0,30,1.998293,0.15,4.0,auto
59,18,23,arterial,1,1.0,1,1000.0,30,1.991127,0.15,4.0,auto
60,23,18,arterial,1,1.0,1,1000.0,30,1.991127,0.15,4.0,auto
61,19,20,arterial,1,1.0,1,1000.0,30,2.019906,0.15,4.0,auto
62,20,19,arterial,1,1.0,1,1000.0,30,2.019906,0.15,4.0,auto
63,19,24,arterial,1,1.0,1,1000.0,30,2.019828,0.15,4.0,auto
64,24,19,arterial,1,1.0,1,1000.0,30,2.019828,0.15,4.0,auto
65,20,25,arterial,1,1.0,1,1000.0,30,2.008312,0.15,4.0,auto
66,25,20,arterial,1,1.0,1,1000.0,30,2.008312,0.15,4.0,auto
67,21,22,arterial,1,1.0,1,3000.0,30,1.992611,0.15,4.0,auto
68,22,21,arterial,1,1.0,1,3000.0,30,1.992611,0.15,4.0,auto
69,23,24,arterial,1,1.0,1,3000.0,30,1.991562,0.15,4.0,auto
70,24,23,arterial,1,1.0,1,3000.0,30,1.991562,0.15,4.0,auto
71,24,25,arterial,1,1.0,1,3000.0,30,1.982809,0.15,4.0,auto
72,25,24,arterial,1,1.0,1,3000.0,30,1.982809,0.15,4.0,auto
73,7,13,arterial,1,1.4,1,3000.0,30,1.0,0.15,4.0,auto
74,10001,1,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
75,1,10001,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
76,10002,2,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
77,2,10002,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
78,10003,3,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
79,3,10003,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
80,10004,4,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
81,4,10004,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
82,10005,5,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
83,5,10005,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
84,10006,6,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
85,6,10006,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
86,10007,10,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
87,10,10007,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
88,10008,11,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
89,11,10008,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
90,10009,15,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
91,15,10009,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
92,10010,16,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
93,16,10010,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
94,10011,20,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
95,20,10011,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
96,10012,21,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
97,21,10012,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
98,10013,22,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
99,22,10013,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
100,10014,23,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
101,23,10014,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
102,10015,24,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
103,24,10015,centroid_connector,1,1.0,1,100000.0,30,0.5,0.15,4.0,auto
