node_id,node_type,zone_id,x_coord,y_coord
90001,centroid,1,-1.5,1.0
90002,centroid,2,5.5,-5.0
1,intersection,,0.0,0.0
2,intersection,,1.0,0.0
3,intersection,,2.0,0.0
4,intersection,,3.0,0.0
5,intersection,,4.0,0.0
6,intersection,,0.0,-1.0
7,intersection,,1.0,-1.0
8,intersection,,2.0,-1.0
9,intersection,,3.0,-1.0
10,intersection,,4.0,-1.0
11,intersection,,0.0,-2.0
12,intersection,,1.0,-2.0
13,intersection,,2.0,-2.0
14,intersection,,3.0,-2.0
15,intersection,,4.0,-2.0
16,intersection,,0.0,-3.0
17,intersection,,1.0,-3.0
18,intersection,,2.0,-3.0
19,intersection,,3.0,-3.0
20,intersection,,4.0,-3.0
21,intersection,,0.0,-4.0
22,intersection,,1.0,-4.0
23,intersection,,2.0,-4.0
24,intersection,,3.0,-4.0
25,intersection,,4.0,-4.0
26,intersection,,0.02,-0.02
27,intersection,,1.02,-0.02
28,intersection,,2.02,-0.02
29,intersection,,3.02,-0.02
30,intersection,,4.02,-0.02
31,intersection,,0.02,-1.02
32,intersection,,1.02,-1.02
33,intersection,,2.02,-1.02
34,intersection,,3.02,-1.02
35,intersection,,4.02,-1.02
36,intersection,,0.02,-2.02
37,intersection,,1.02,-2.02
38,intersection,,2.02,-2.02
39,intersection,,3.02,-2.02
40,intersection,,4.02,-2.02
41,intersection,,0.02,-3.02
42,intersection,,1.02,-3.02
43,intersection,,2.02,-3.02
44,intersection,,3.02,-3.02
45,intersection,,4.02,-3.02
46,intersection,,0.02,-4.02
47,intersection,,1.02,-4.02
48,intersection,,2.02,-4.02
49,intersection,,3.02,-4.02
50,intersection,,4.02,-4.02
51,intersection,,0.04,-0.04
52,intersection,,1.04,-0.04
53,intersection,,2.04,-0.04
54,intersection,,3.04,-0.04
55,intersection,,4.04,-0.04
56,intersection,,0.04,-1.04
57,intersection,,1.04,-1.04
58,intersection,,2.04,-1.04
59,intersection,,3.04,-1.04
60,intersection,,4.04,-1.04
61,intersection,,0.04,-2.04
62,intersection,,1.04,-2.04
63,intersection,,2.04,-2.04
64,intersection,,3.04,-2.04
65,intersection,,4.04,-2.04
66,intersection,,0.04,-3.04
67,intersection,,1.04,-3.04
68,intersection,,2.04,-3.04
69,intersection,,3.04,-3.04
70,intersection,,4.04,-3.04
71,intersection,,0.04,-4.04
72,intersection,,1.04,-4.04
73,intersection,,2.04,-4.04
74,intersection,,3.04,-4.04
75,intersection,,4.04,-4.04
76,intersection,,0.06,-0.06
77,intersection,,1.06,-0.06
78,intersection,,2.06,-0.06
79,intersection,,3.06,-0.06
80,intersection,,4.06,-0.06
81,intersection,,0.06,-1.06
82,intersection,,1.06,-1.06
83,intersection,,2.06,-1.06
84,intersection,,3.06,-1.06
85,intersection,,4.06,-1.06
86,intersection,,0.06,-2.06
87,intersection,,1.06,-2.06
88,intersection,,2.06,-2.06
89,intersection,,3.06,-2.06
90,intersection,,4.06,-2.06
91,intersection,,0.06,-3.06
92,intersection,,1.06,-3.06
93,intersection,,2.06,-3.06
94,intersection,,3.06,-3.06
95,intersection,,4.06,-3.06
96,intersection,,0.06,-4.06
97,intersection,,1.06,-4.06
98,intersection,,2.06,-4.06
99,intersection,,3.06,-4.06
100,intersection,,4.06,-4.06
101,intersection,,0.08,-0.08
102,intersection,,1.08,-0.08
103,intersection,,2.08,-0.08
104,intersection,,3.08,-0.08
105,intersection,,4.08,-0.08
106,intersection,,0.08,-1.08
107,intersection,,1.08,-1.08
108,intersection,,2.08,-1.08
109,intersection,,3.08,-1.08
110,intersection,,4.08,-1.08
111,intersection,,0.08,-2.08
112,intersection,,1.08,-2.08
113,intersection,,2.08,-2.08
114,intersection,,3.08,-2.08
115,intersection,,4.08,-2.08
116,intersection,,0.08,-3.08
117,intersection,,1.08,-3.08
118,intersection,,2.08,-3.08
119,intersection,,3.08,-3.08
120,intersection,,4.08,-3.08
121,intersection,,0.08,-4.08
122,intersection,,1.08,-4.08
123,intersection,,2.08,-4.08
124,intersection,,3.08,-4.08
125,intersection,,4.08,-4.08
126,intersection,,0.1,-0.1
127,intersection,,1.1,-0.1
128,intersection,,2.1,-0.1
129,intersection,,3.1,-0.1
130,intersection,,4.1,-0.1
131,intersection,,0.1,-1.1
132,intersection,,1.1,-1.1
133,intersection,,2.1,-1.1
134,intersection,,3.1,-1.1
135,intersection,,4.1,-1.1
136,intersection,,0.1,-2.1
137,intersection,,1.1,-2.1
138,intersection,,2.1,-2.1
139,intersection,,3.1,-2.1
140,intersection,,4.1,-2.1
141,intersection,,0.1,-3.1
142,intersection,,1.1,-3.1
143,intersection,,2.1,-3.1
144,intersection,,3.1,-3.1
145,intersection,,4.1,-3.1
146,intersection,,0.1,-4.1
147,intersection,,1.1,-4.1
148,intersection,,2.1,-4.1
149,intersection,,3.1,-4.1
150,intersection,,4.1,-4.1
151,intersection,,0.12,-0.12
152,intersection,,1.12,-0.12
153,intersection,,2.12,-0.12
154,intersection,,3.12,-0.12
155,intersection,,4.12,-0.12
156,intersection,,0.12,-1.12
157,intersection,,1.12,-1.12
158,intersection,,2.12,-1.12
159,intersection,,3.12,-1.12
160,intersection,,4.12,-1.12
161,intersection,,0.12,-2.12
162,intersection,,1.12,-2.12
163,intersection,,2.12,-2.12
164,intersection,,3.12,-2.12
165,intersection,,4.12,-2.12
166,intersection,,0.12,-3.12
167,intersection,,1.12,-3.12
168,intersection,,2.12,-3.12
169,intersection,,3.12,-3.12
170,intersection,,4.12,-3.12
171,intersection,,0.12,-4.12
172,intersection,,1.12,-4.12
173,intersection,,2.12,-4.12
174,intersection,,3.12,-4.12
175,intersection,,4.12,-4.12
176,intersection,,0.14,-0.14
177,intersection,,1.1400000000000001,-0.14
178,intersection,,2.14,-0.14
179,intersection,,3.14,-0.14
180,intersection,,4.14,-0.14
181,intersection,,0.14,-1.1400000000000001
182,intersection,,1.1400000000000001,-1.1400000000000001
183,intersection,,2.14,-1.1400000000000001
184,intersection,,3.14,-1.1400000000000001
185,intersection,,4.14,-1.1400000000000001
186,intersection,,0.14,-2.14
187,intersection,,1.1400000000000001,-2.14
188,intersection,,2.14,-2.14
189,intersection,,3.14,-2.14
190,intersection,,4.14,-2.14
191,intersection,,0.14,-3.14
192,intersection,,1.1400000000000001,-3.14
193,intersection,,2.14,-3.14
194,intersection,,3.14,-3.14
195,intersection,,4.14,-3.14
196,intersection,,0.14,-4.14
197,intersection,,1.1400000000000001,-4.14
198,intersection,,2.14,-4.14
199,intersection,,3.14,-4.14
200,intersection,,4.14,-4.14
201,intersection,,0.16,-0.16
202,intersection,,1.16,-0.16
203,intersection,,2.16,-0.16
204,intersection,,3.16,-0.16
205,intersection,,4.16,-0.16
206,intersection,,0.16,-1.16
207,intersection,,1.16,-1.16
208,intersection,,2.16,-1.16
209,intersection,,3.16,-1.16
210,intersection,,4.16,-1.16
211,intersection,,0.16,-2.16
212,intersection,,1.16,-2.16
213,intersection,,2.16,-2.16
214,intersection,,3.16,-2.16
215,intersection,,4.16,-2.16
216,intersection,,0.16,-3.16
217,intersection,,1.16,-3.16
218,intersection,,2.16,-3.16
219,intersection,,3.16,-3.16
220,intersection,,4.16,-3.16
221,intersection,,0.16,-4.16
222,intersection,,1.16,-4.16
223,intersection,,2.16,-4.16
224,intersection,,3.16,-4.16
225,intersection,,4.16,-4.16
226,intersection,,0.18,-0.18
227,intersection,,1.18,-0.18
228,intersection,,2.18,-0.18
229,intersection,,3.18,-0.18
230,intersection,,4.18,-0.18
231,intersection,,0.18,-1.18
232,intersection,,1.18,-1.18
233,intersection,,2.18,-1.18
234,intersection,,3.18,-1.18
235,intersection,,4.18,-1.18
236,intersection,,0.18,-2.18
237,intersection,,1.18,-2.18
238,intersection,,2.18,-2.18
239,intersection,,3.18,-2.18
240,intersection,,4.18,-2.18
241,intersection,,0.18,-3.18
242,intersection,,1.18,-3.18
243,intersection,,2.18,-3.18
244,intersection,,3.18,-3.18
245,intersection,,4.18,-3.18
246,intersection,,0.18,-4.18
247,intersection,,1.18,-4.18
248,intersection,,2.18,-4.18
249,intersection,,3.18,-4.18
250,intersection,,4.18,-4.18
251,intersection,,0.2,-0.2
252,intersection,,1.2,-0.2
253,intersection,,2.2,-0.2
254,intersection,,3.2,-0.2
255,intersection,,4.2,-0.2
256,intersection,,0.2,-1.2
257,intersection,,1.2,-1.2
258,intersection,,2.2,-1.2
259,intersection,,3.2,-1.2
260,intersection,,4.2,-1.2
261,intersection,,0.2,-2.2
262,intersection,,1.2,-2.2
263,intersection,,2.2,-2.2
264,intersection,,3.2,-2.2
265,intersection,,4.2,-2.2
266,intersection,,0.2,-3.2
267,intersection,,1.2,-3.2
268,intersection,,2.2,-3.2
269,intersection,,3.2,-3.2
270,intersection,,4.2,-3.2
271,intersection,,0.2,-4.2
272,intersection,,1.2,-4.2
273,intersection,,2.2,-4.2
274,intersection,,3.2,-4.2
